City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
532,machico,32.7,-16.7667,21.51,77,40,3.09,PT,1706978481
533,la ronge,55.1001,-105.2842,1.14,86,100,1.03,CA,1706978481
534,yorkton,51.2167,-102.4677,0.91,100,100,3.6,CA,1706978481
535,coahuayana de hidalgo,18.7,-103.6583,27.93,46,0,1.95,MX,1706978482
536,denov,38.2667,67.9,2.89,85,100,5.48,UZ,1706978482
537,isangel,-19.55,169.2667,26.84,88,100,3.26,VU,1706978482
538,lecce,40.2167,18.1667,13.26,78,20,3.6,IT,1706978483
539,koutiala,12.3917,-5.4642,34.26,9,1,4.73,ML,1706978483
540,zhangye,38.9342,100.4517,-5.67,69,97,2.59,CN,1706978484
541,robore,-18.3333,-59.75,40.07,20,5,2.88,BO,1706978484
542,brookings,44.3114,-96.7984,1.0,100,100,7.2,US,1706978279
543,sioux falls,43.55,-96.7003,1.92,94,100,5.14,US,1706978204
544,teshi old town,5.5836,-0.1072,29.32,69,78,4.69,GH,1706978484
545,lata,40.1629,-8.3327,16.82,62,9,0.44,PT,1706978485
546,celestun,20.8667,-90.4,27.0,61,0,4.82,MX,1706978485
547,beroroha,-21.6667,45.1667,25.4,77,84,1.62,MG,1706978485
548,zeralda,36.7117,2.8424,15.94,75,3,4.25,DZ,1706978486
549,szczawnica,49.4244,20.4849,7.28,92,100,3.22,PL,1706978486
550,rondonopolis,-16.4708,-54.6356,29.24,54,99,4.88,BR,1706978293
551,merizo village,13.2658,144.6691,25.32,94,94,11.19,GU,1706978486
552,tambuwal,12.4039,4.6469,30.61,10,21,5.54,NG,1706978487
553,gombong,-7.6072,109.5142,24.94,91,100,1.12,ID,1706978487
554,dawesville,30.9224,-84.0091,19.82,50,0,3.13,US,1706978487
555,rancho palos verdes,33.7445,-118.387,13.39,83,53,1.79,US,1706978488
556,kulhudhuffushi,6.6221,73.07,27.63,78,96,4.89,MV,1706978488
557,richards bay,-28.783,32.0377,24.86,73,4,5.64,ZA,1706978489
558,bayanaul,50.7889,75.6956,-8.02,74,100,7.3,KZ,1706978489
559,grand gaube,-20.0064,57.6608,26.22,77,22,1.34,MU,1706978489
560,tidjikja,18.5564,-11.4271,27.71,7,0,6.75,MR,1706978489
561,chernogorsk,53.8236,91.2842,-16.24,85,40,0.0,RU,1706978490
562,bakhmach,51.1808,32.7569,2.92,99,100,6.96,UA,1706978490
563,domat,46.8348,9.4508,10.65,87,73,0.36,CH,1706978491
564,pacocha,-17.5833,-71.3333,25.08,65,0,3.09,PE,1706978491
565,aktau,43.65,51.2,2.32,83,100,3.89,KZ,1706978491
566,lawas,13.764,121.0566,23.4,89,30,4.18,PH,1706978491
567,timmins,48.4669,-81.3331,-1.1,64,20,3.6,CA,1706978492
568,kavaratti,10.5669,72.642,26.61,68,44,1.62,IN,1706978492
569,coquimbo,-29.9533,-71.3436,21.85,73,40,6.17,CL,1706978492
570,puri,19.8,85.85,23.29,82,14,2.05,IN,1706978492
